Near Surface Air Temperature,Precipitation,Alert
285.08025|286.12375|285.428875|283.011|281.385375|283.04425|282.9735,479.5463583|121.0459217|7.4309375|0|0|0|0,0
286.12375|285.428875|283.011|281.385375|283.04425|282.9735|282.9925,121.0459217|7.4309375|0|0|0|0|946.35625,0
285.428875|283.011|281.385375|283.04425|282.9735|282.9925|283.554375,7.4309375|0|0|0|0|946.35625|0,0
283.011|281.385375|283.04425|282.9735|282.9925|283.554375|283.660625,0|0|0|0|946.35625|0|0,0
281.385375|283.04425|282.9735|282.9925|283.554375|283.660625|284.392625,0|0|0|946.35625|0|0|0,0
283.04425|282.9735|282.9925|283.554375|283.660625|284.392625|283.515875,0|0|946.35625|0|0|0|0,0
282.9735|282.9925|283.554375|283.660625|284.392625|283.515875|283.48075,0|946.35625|0|0|0|0|0,0
282.9925|283.554375|283.660625|284.392625|283.515875|283.48075|283.74575,946.35625|0|0|0|0|0|0,0
283.554375|283.660625|284.392625|283.515875|283.48075|283.74575|282.780625,0|0|0|0|0|0|0,0
283.660625|284.392625|283.515875|283.48075|283.74575|282.780625|282.441375,0|0|0|0|0|0|2.0864375,0
284.392625|283.515875|283.48075|283.74575|282.780625|282.441375|282.72625,0|0|0|0|0|2.0864375|0,0
283.515875|283.48075|283.74575|282.780625|282.441375|282.72625|282.75425,0|0|0|0|2.0864375|0|0,0
283.48075|283.74575|282.780625|282.441375|282.72625|282.75425|279.96175,0|0|0|2.0864375|0|0|0,0
283.74575|282.780625|282.441375|282.72625|282.75425|279.96175|279.941625,0|0|2.0864375|0|0|0|0,0
282.780625|282.441375|282.72625|282.75425|279.96175|279.941625|280.30525,0|2.0864375|0|0|0|0|0,0
282.441375|282.72625|282.75425|279.96175|279.941625|280.30525|279.818875,2.0864375|0|0|0|0|0|0,0
282.72625|282.75425|279.96175|279.941625|280.30525|279.818875|280.82375,0|0|0|0|0|0|0,0
282.75425|279.96175|279.941625|280.30525|279.818875|280.82375|280.38275,0|0|0|0|0|0|0,0
279.96175|279.941625|280.30525|279.818875|280.82375|280.38275|281.033875,0|0|0|0|0|0|0,0
279.941625|280.30525|279.818875|280.82375|280.38275|281.033875|279.4945,0|0|0|0|0|0|0,0
280.30525|279.818875|280.82375|280.38275|281.033875|279.4945|279.909,0|0|0|0|0|0|399.6566021,0
279.818875|280.82375|280.38275|281.033875|279.4945|279.909|280.614875,0|0|0|0|0|399.6566021|0,0
280.82375|280.38275|281.033875|279.4945|279.909|280.614875|281.0665,0|0|0|0|399.6566021|0|0,0
280.38275|281.033875|279.4945|279.909|280.614875|281.0665|280.577375,0|0|0|399.6566021|0|0|0,0
281.033875|279.4945|279.909|280.614875|281.0665|280.577375|281.10425,0|0|399.6566021|0|0|0|0,0
279.4945|279.909|280.614875|281.0665|280.577375|281.10425|280.62125,0|399.6566021|0|0|0|0|0,0
279.909|280.614875|281.0665|280.577375|281.10425|280.62125|281.147375,399.6566021|0|0|0|0|0|0,0
280.614875|281.0665|280.577375|281.10425|280.62125|281.147375|280.934125,0|0|0|0|0|0|0,0
281.0665|280.577375|281.10425|280.62125|281.147375|280.934125|280.8345,0|0|0|0|0|0|0.366633333,0
280.577375|281.10425|280.62125|281.147375|280.934125|280.8345|280.685875,0|0|0|0|0|0.366633333|0,0
281.10425|280.62125|281.147375|280.934125|280.8345|280.685875|280.106875,0|0|0|0|0.366633333|0|0,0
280.62125|281.147375|280.934125|280.8345|280.685875|280.106875|281.495625,0|0|0|0.366633333|0|0|0,0
281.147375|280.934125|280.8345|280.685875|280.106875|281.495625|278.933375,0|0|0.366633333|0|0|0|0,0
280.934125|280.8345|280.685875|280.106875|281.495625|278.933375|278.266875,0|0.366633333|0|0|0|0|0,0
280.8345|280.685875|280.106875|281.495625|278.933375|278.266875|279.15525,0.366633333|0|0|0|0|0|0,0
280.685875|280.106875|281.495625|278.933375|278.266875|279.15525|281.767625,0|0|0|0|0|0|0,0
280.106875|281.495625|278.933375|278.266875|279.15525|281.767625|282.305875,0|0|0|0|0|0|0,0
281.495625|278.933375|278.266875|279.15525|281.767625|282.305875|281.59825,0|0|0|0|0|0|0,0
278.933375|278.266875|279.15525|281.767625|282.305875|281.59825|281.25325,0|0|0|0|0|0|0,0
278.266875|279.15525|281.767625|282.305875|281.59825|281.25325|279.958875,0|0|0|0|0|0|0,0
279.15525|281.767625|282.305875|281.59825|281.25325|279.958875|278.53875,0|0|0|0|0|0|0,0
281.767625|282.305875|281.59825|281.25325|279.958875|278.53875|278.882125,0|0|0|0|0|0|0,0
282.305875|281.59825|281.25325|279.958875|278.53875|278.882125|280.011,0|0|0|0|0|0|0,0
